self.Clock,C1_W1,C1W2,C1W3,C2W2,C3W3,Part1,Part2,Part3,inspector1 block time,inspector2_C2 block time,inspector2_C3 block time,Total Block Time,self.w1_idle,self.w2_idle,self.w3_idle,Total Idle Time(workstation),self.w1_aval,self.w2_aval,self.w3_aval,Event Queue
4064.0467350584354,0,0,0,1,2,141,74,81,0,227.03762853223725,343.52750239568786,570.5651309279251,2110.782344827482,2101.265014497376,2026.0914616993532,6238.138821024229,True,True,True,"(4064.0467350584354, w2_end) (4064.1467350584353, ins2c3_end) (4066.159386251316, ins1c1_end) (5000, system end) "
4064.1467350584353,0,0,0,1,2,141,74,81,0,227.03762853223725,345.6401535885684,572.6777821208057,2110.882344827482,2101.365014497376,2026.191461699353,6238.4388210242305,True,True,True,"(4064.1467350584353, ins2c3_end) (4066.159386251316, ins1c1_end) (5000, system end) "
4066.159386251316,0,0,0,1,1,141,74,81,0,227.03762853223725,345.6401535885684,572.6777821208057,2112.8949960203627,2103.3776656902564,2026.191461699353,6242.464123409993,True,True,False,"(4066.159386251316, ins1c1_end) (4066.259386251316, ins2c3_end) (5000, system end) "
4066.159386251316,0,0,0,1,1,141,74,81,0,227.03762853223725,345.6401535885684,572.6777821208057,2112.8949960203627,2103.3776656902564,2026.191461699353,6242.464123409993,True,True,False,"(4066.159386251316, ins1c1_start) (4066.159386251316, w3_start) (4066.259386251316, ins2c3_end) (5000, system end) "
4066.159386251316,0,0,0,1,1,141,74,81,0,227.03762853223725,345.6401535885684,572.6777821208057,2112.8949960203627,2103.3776656902564,2026.191461699353,6242.464123409993,True,True,False,"(4066.159386251316, w3_start) (4066.259386251316, ins2c3_end) (4131.820206337399, ins1c1_end) (5000, system end) "
4066.259386251316,0,0,0,1,2,141,74,81,0,227.03762853223725,345.6401535885684,572.6777821208057,2112.9949960203626,2103.4776656902563,2026.191461699353,6242.664123409993,True,True,False,"(4066.259386251316, ins2c3_end) (4082.909297507772, w3_end) (4131.820206337399, ins1c1_end) (5000, system end) "
4066.259386251316,0,0,0,1,2,141,74,81,0,227.03762853223725,345.6401535885684,572.6777821208057,2112.9949960203626,2103.4776656902563,2026.191461699353,6242.664123409993,True,True,False,"(4066.259386251316, ins2_start) (4082.909297507772, w3_end) (4131.820206337399, ins1c1_end) (5000, system end) "
4082.6176989875507,0,0,0,1,2,141,74,81,0,227.03762853223725,346.03175210878953,573.0693806410268,2129.3533087565975,2119.8359784264912,2026.191461699353,6275.380748882462,True,True,False,"(4082.6176989875507, ins2c3_end) (4082.909297507772, w3_end) (4131.820206337399, ins1c1_end) (5000, system end) "
4082.909297507772,0,0,0,1,2,141,74,82,0,227.03762853223725,346.03175210878953,573.0693806410268,2129.6449072768187,2120.1275769467125,2026.4830602195743,6276.255544443127,True,True,True,"(4082.909297507772, w3_end) (4083.009297507772, ins2c3_end) (4131.820206337399, ins1c1_end) (5000, system end) "
4083.009297507772,0,0,0,1,2,141,74,82,0,227.03762853223725,394.94266093841725,621.9802894706545,2129.7449072768186,2120.2275769467124,2026.5830602195742,6276.555544443128,True,True,True,"(4083.009297507772, ins2c3_end) (4131.820206337399, ins1c1_end) (5000, system end) "
4131.820206337399,0,0,0,1,2,141,74,82,0,227.03762853223725,394.94266093841725,621.9802894706545,2129.7449072768186,2169.0384857763397,2075.3939690492016,6374.177362102384,False,True,True,"(4131.820206337399, ins1c1_end) (4131.9202063374, ins2c3_end) (5000, system end) "
4131.820206337399,0,0,0,1,2,141,74,82,0,227.03762853223725,394.94266093841725,621.9802894706545,2129.7449072768186,2169.0384857763397,2075.3939690492016,6374.177362102384,False,True,True,"(4131.820206337399, ins1c1_start) (4131.820206337399, w1_start) (4131.9202063374, ins2c3_end) (5000, system end) "
4131.820206337399,0,0,0,1,2,141,74,82,0,227.03762853223725,394.94266093841725,621.9802894706545,2129.7449072768186,2169.0384857763397,2075.3939690492016,6374.177362102384,False,True,True,"(4131.820206337399, w1_start) (4131.9202063374, ins2c3_end) (4144.445279527213, ins1c1_end) (5000, system end) "
4131.9202063374,0,0,0,1,2,141,74,82,0,227.03762853223725,399.7057539383486,626.7433824705859,2129.7449072768186,2169.13848577634,2075.493969049202,6374.377362102385,False,True,True,"(4131.9202063374, ins2c3_end) (4136.583299337331, w1_end) (4144.445279527213, ins1c1_end) (5000, system end) "
4136.583299337331,0,0,0,1,2,142,74,82,0,227.03762853223725,399.7057539383486,626.7433824705859,2134.4080002767496,2173.801578776271,2080.157062049133,6388.366641102178,True,True,True,"(4136.583299337331, w1_end) (4136.683299337331, ins2c3_end) (4144.445279527213, ins1c1_end) (5000, system end) "
4136.683299337331,0,0,0,1,2,142,74,82,0,227.03762853223725,407.56773412823077,634.605362660468,2134.50800027675,2173.9015787762714,2080.2570620491333,6388.666641102179,True,True,True,"(4136.683299337331, ins2c3_end) (4144.445279527213, ins1c1_end) (5000, system end) "
4144.445279527213,0,0,0,0,2,142,74,82,0,227.03762853223725,407.56773412823077,634.605362660468,2142.2699804666318,2173.9015787762714,2088.019042239015,6404.190601481942,True,False,True,"(4144.445279527213, ins1c1_end) (4144.545279527213, ins2c3_end) (5000, system end) "
4144.445279527213,0,0,0,0,2,142,74,82,0,227.03762853223725,407.56773412823077,634.605362660468,2142.2699804666318,2173.9015787762714,2088.019042239015,6404.190601481942,True,False,True,"(4144.445279527213, ins1c1_start) (4144.445279527213, w2_start) (4144.545279527213, ins2c3_end) (5000, system end) "
4144.445279527213,0,0,0,0,2,142,74,82,0,227.03762853223725,407.56773412823077,634.605362660468,2142.2699804666318,2173.9015787762714,2088.019042239015,6404.190601481942,True,False,True,"(4144.445279527213, w2_start) (4144.545279527213, ins2c3_end) (4146.961615550965, ins1c1_end) (5000, system end) "
